id,GrLivArea,OverallQual,YearBuilt,YearRemodAdd,LotArea,SalePrice
0,1710,7,2003,2003,8450,208500
1,1262,6,1976,1976,9600,181500
2,1786,7,2001,2002,11250,223500
3,1717,7,1915,1970,9550,140000
4,2198,8,2000,2000,14260,250000
5,1362,5,1993,1995,14115,143000
6,1694,8,2004,2005,10084,307000
7,2090,7,1973,1973,10382,200000
8,1774,7,1931,1950,6120,129900
9,1077,5,1939,1950,7420,118000
10,1040,5,1965,1965,11200,129500
11,2324,9,2005,2006,11924,345000
12,912,5,1962,1962,12968,144000
13,1494,7,2006,2007,10652,279500
14,1253,6,1960,1960,10920,157000
15,854,7,1929,2001,6120,132000
16,1004,6,1970,1970,11241,149000
17,1296,4,1967,1967,10791,90000
18,1114,5,2004,2004,13695,159000
19,1339,5,1958,1965,7560,139000
20,2376,8,2005,2006,14215,325300
21,1108,7,1930,1950,7449,139400
22,1795,8,2002,2002,9742,230000
23,1060,5,1976,1976,4224,129900
24,1060,5,1968,2001,8246,154000
25,1600,8,2007,2007,14230,256300
26,900,5,1951,2000,7200,134800
27,1704,8,2007,2008,11478,306000
28,1600,5,1957,1997,16321,207500
29,520,4,1927,1950,6324,68500
30,1317,4,1920,1950,8500,40000
31,1228,5,1966,2006,8544,149350
32,1234,8,2007,2007,11049,179900
33,1700,5,1959,1959,10552,165500
34,1561,9,2005,2005,7313,277500
35,2452,8,2004,2005,13418,309000
36,1097,5,1994,1995,10859,145000
37,1297,5,1954,1990,8532,153000
38,1057,5,1953,2007,7922,109000
39,1152,4,1955,1955,6040,82000
40,1324,6,1965,1965,8658,160000
41,1328,5,1959,1959,16905,170000
42,884,5,1983,1983,9180,144000
43,938,5,1975,1980,9200,130250
44,1150,5,1959,1959,7945,141000
45,1752,9,2005,2005,7658,319900
46,2149,7,2003,2003,12822,239686
47,1656,8,2006,2006,11096,249700
48,1452,4,1920,2008,4456,113000
49,955,5,1966,1966,7742,127000
50,1470,6,1997,1997,13869,177000
51,1176,6,1934,1950,6240,114500
52,816,5,1963,1963,8472,110000
53,1842,9,1981,1987,50271,385000
54,1360,5,1955,1955,7134,130000
55,1425,6,1964,1964,10175,180500
56,1739,8,1999,2000,2645,172500
57,1720,7,2004,2004,11645,196500
58,2945,10,2006,2006,13682,438780
59,780,5,1972,1972,7200,124900
60,1158,6,2004,2004,13072,158000
61,1111,5,1920,1996,7200,101000
62,1370,8,2006,2006,6442,202500
63,1710,7,1921,1950,10300,140000
