DATA_INICIAL,DATA FINAL,REGIAO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MES,ANO
01/01/2017,07/01/2017,NORTE,ACRE,ETANOL HIDRATADO,14,R$/l,3.615,0.219,3.1,4.03,0.533,0.061,3.082,0.251,2.7656,3.3491,0.081,1,2017
01/01/2017,07/01/2017,NORDESTE,ALAGOAS,ETANOL HIDRATADO,53,R$/l,3.157,0.183,2.849,3.499,0.457,0.058,2.7,0.274,2,3.3035,0.101,1,2017
01/01/2017,07/01/2017,NORTE,AMAPA,ETANOL HIDRATADO,2,R$/l,3.76,0.056,3.72,3.799,,0.015,,,,,,1,2017
01/01/2017,07/01/2017,NORTE,AMAZONAS,ETANOL HIDRATADO,36,R$/l,3.381,0.166,3.2,3.85,0.369,0.049,3.012,0.116,2.59,3.1608,0.039,1,2017
01/01/2017,07/01/2017,NORDESTE,BAHIA,ETANOL HIDRATADO,321,R$/l,3.025,0.177,2.68,3.99,0.364,0.059,2.661,0.122,2.2578,3.0088,0.046,1,2017
01/01/2017,07/01/2017,NORDESTE,CEARA,ETANOL HIDRATADO,183,R$/l,3.29,0.076,3.18,3.61,0.471,0.023,2.819,0.037,2.7289,2.8816,0.013,1,2017
01/01/2017,07/01/2017,CENTRO OESTE,DISTRITO FEDERAL,ETANOL HIDRATADO,32,R$/l,3.324,0.201,2.79,3.699,0.323,0.06,3.001,0.045,2.9694,3.0331,0.015,1,2017
01/01/2017,07/01/2017,SUDESTE,ESPIRITO SANTO,ETANOL HIDRATADO,71,R$/l,3.265,0.219,2.98,3.89,0.194,0.067,3.071,0.038,3.0182,3.1423,0.012,1,2017
01/01/2017,07/01/2017,CENTRO OESTE,GOIAS,ETANOL HIDRATADO,218,R$/l,2.942,0.09,2.69,3.25,0.327,0.031,2.615,0.094,2.4265,2.9167,0.036,1,2017
01/01/2017,07/01/2017,NORDESTE,MARANHAO,ETANOL HIDRATADO,59,R$/l,3.316,0.177,2.98,3.699,0.28,0.053,3.036,0.132,2.82,3.2412,0.043,1,2017
01/01/2017,07/01/2017,CENTRO OESTE,MATO GROSSO,ETANOL HIDRATADO,138,R$/l,2.703,0.147,2.539,3.3,0.373,0.054,2.33,0.096,2.2,2.5668,0.041,1,2017
01/01/2017,07/01/2017,CENTRO OESTE,MATO GROSSO DO SUL,ETANOL HIDRATADO,81,R$/l,3.043,0.153,2.799,3.399,0.356,0.05,2.687,0.112,2.4465,3.054,0.042,1,2017
01/01/2017,07/01/2017,SUDESTE,MINAS GERAIS,ETANOL HIDRATADO,609,R$/l,2.904,0.133,2.499,3.349,0.341,0.046,2.563,0.12,2.2299,2.9025,0.047,1,2017
01/01/2017,07/01/2017,NORTE,PARA,ETANOL HIDRATADO,50,R$/l,3.731,0.163,3.489,4.209,0.424,0.044,3.307,0.092,3.1285,3.3862,0.028,1,2017
01/01/2017,07/01/2017,NORDESTE,PARAIBA,ETANOL HIDRATADO,51,R$/l,2.953,0.163,2.729,3.59,0.352,0.055,2.601,0.09,2.46,2.8107,0.035,1,2017
01/01/2017,07/01/2017,SUL,PARANA,ETANOL HIDRATADO,364,R$/l,2.905,0.121,2.59,3.32,0.302,0.042,2.603,0.104,2.3459,2.8527,0.04,1,2017
01/01/2017,07/01/2017,NORDESTE,PERNAMBUCO,ETANOL HIDRATADO,176,R$/l,2.932,0.164,2.64,3.397,0.347,0.056,2.585,0.164,2.2425,3.0213,0.063,1,2017
01/01/2017,07/01/2017,NORDESTE,PIAUI,ETANOL HIDRATADO,40,R$/l,3.085,0.141,2.989,3.4,0.41,0.046,2.675,0.074,2.5369,2.7762,0.028,1,2017
01/01/2017,07/01/2017,SUDESTE,RIO DE JANEIRO,ETANOL HIDRATADO,397,R$/l,3.498,0.226,2.85,3.999,0.431,0.065,3.067,0.156,2.7799,3.4127,0.051,1,2017
01/01/2017,07/01/2017,NORDESTE,RIO GRANDE DO NORTE,ETANOL HIDRATADO,56,R$/l,3.251,0.058,3.12,3.45,0.481,0.018,2.77,0.081,2.7269,2.935,0.029,1,2017
01/01/2017,07/01/2017,SUL,RIO GRANDE DO SUL,ETANOL HIDRATADO,217,R$/l,3.757,0.211,3.19,4.479,0.396,0.056,3.361,0.185,2.539,3.7036,0.055,1,2017
01/01/2017,07/01/2017,NORTE,RONDONIA,ETANOL HIDRATADO,39,R$/l,3.474,0.18,3.149,3.97,0.542,0.052,2.932,0.079,2.8999,3.1565,0.027,1,2017
01/01/2017,07/01/2017,NORTE,RORAIMA,ETANOL HIDRATADO,3,R$/l,3.78,0.075,3.7,3.85,0.576,0.02,3.204,0.162,3.0165,3.3046,0.051,1,2017
